id,flat_width_mm,cut_mm,standard_turn,thousands_box
pky_pvc_preformed1,34,30,20,25
pky_pvc_preformed2,53,60,20,15
pky_pvc_preformed3,56,50,20,25
pky_pvc_preformed4,60,55,20,20
pky_pvc_preformed5,63,40,22,20
pky_pvc_preformed6,102,65,18,7
pky_pvc_preformed7,120,27,20,18
pky_pvc_preformed8,58,50,22,22
pky_pvc_preformed9,68,25,22,14
pky_pvc_preformed10,80,70,20,14
pky_pvc_preformed11,99,27,22,18
pky_pvc_preformed12,134,27,20,8
pky_pvc_preformed13,138,31,24,8
pky_pvc_preformed14,125,27,22,8
pky_pvc_preformed15,154,40,20,4
pky_pvc_preformed16,67,45,22,20
pky_pvc_preformed17,189,35,20,4
pky_pvc_preformed18,192,35,22,3.5
pky_pvc_preformed19,195,37,22,3
pky_pvc_preformed20,260,37,15,2.5
pky_pvc_preformed21,265,35,11,1.2
pky_pvc_preformed22,172,30,20,5
pky_pvc_preformed23,250,35,18,12
pky_pvc_preformed24,319,40,7,1
pky_pvc_preformed25,36,34,20,20
pky_pvc_preformed26,206,30,20,4
pky_pvc_preformed27,65,85,20,15
pky_pvc_preformed28,110,65,15,15
pky_pvc_preformed29,315,40,15,2
pky_pvc_preformed30,234,43,15,12
pky_pvc_preformed31,242,35,15,12
pky_pvc_preformed32,97,65,12,12
pky_pvc_preformed33,88,25,20,15
pky_pvc_preformed34,280,45,11,1.2
pky_pvc_preformed35,320,60,23,23
